Code,Name,Brand,MAP Price,Warranty,Weight,Stock Level,Product Images,UPC/EAN
VLK-74084,Cytac Drop Leg Modular Holster Platform,Cytac,49.5,30 Day Return,0.5,1,Product Image URL: http://www.airsoftstation.com/product_images/p/530/cytac-drop-leg-modular-holster-platform__96579.jpg,8.89E+11
KWA-197-02261,KWA KZ61 20 BB GBB SMG Magazine,KWA,39.95,30 Day Return & Warranty,0.8,2,Product Image URL: http://www.airsoftstation.com/product_images/t/010/kwa-kz61-20-bb-gbb-smg-magazine__51946.jpg,8.48E+11
KWA-197-02263,"KWA KZ61 GBB Magazine, 48 Round Capacity",KWA,49.95,30 Day Return & Warranty,0.9,2,Product Image URL: http://www.airsoftstation.com/product_images/v/817/kwa-kz61-gbb-magazine-48-round-capacity__72708.jpg,8.48E+11
PISTDISP,Heavy Duty Clear Acrylic Pistol Display Stand,Airsoft Station,11.5,30 Day Return,0.15,0,Product Image URL: http://www.airsoftstation.com/product_images/q/686/heavy-duty-clear-acrylic-pistol-display-stand__08137.jpg,
SHS-TH1027,SHS/Super Shooter M140 Airsoft Spring Extra Durable AEG Upgrade Variable Pitch Spring,SHS,11.5,,0.07,0,Product Image URL: http://www.airsoftstation.com/product_images/s/719/shssuper-shooter-m140-airsoft-spring-extra-durable-aeg-upgrade-variable-pitch-spring__06304.jpg,
SHS-TH1030,SHS/Super Shooter M170 Airsoft Spring Extra Durable AEG Upgrade Variable Pitch Spring,SHS,12.7,,0.07,0,Product Image URL: http://www.airsoftstation.com/product_images/k/193/shssuper-shooter-m170-airsoft-spring-extra-durable-aeg-upgrade-variable-pitch-spring__66689.jpg,TH1030
KWA-103-00215,KWA LM4 RIS PTR Gas Blowback M4 Airsoft Professional Training Rifle,KWA,380,"30 Day Return, 45 Day Warranty",12,6,Product Image URL: http://www.airsoftstation.com/product_images/h/547/kwa-lm4-ris-ptr-gas-blowback-m4-airsoft-professional-training-rifle__09185.jpg,8.48E+11
UX-2211077,Elite Force 1911 CO2 Magazine Rebuild Kit,Elite Force,18.4,Parts Warranty; See Warranty Policy Page for more information.,0.15,19,Product Image URL: http://www.airsoftstation.com/product_images/f/219/elite-force-1911-co2-magazine-rebuild-kit__87192.jpg,7.23E+11
2522_RA-P-SWAT,"SWAT Velcro Patch 4.25 X 2""",Raptors Airsoft,5.8,,0.01,0,Product Image URL: http://www.airsoftstation.com/product_images/i/423/swat-velcro-patch-4.25-x-2__33519.jpg,
UK-MB4411G,Well MB4411G Bolt Action Sniper Rifle with RIS & Folding Sniper Stock,Well,151.49,30 Day Return & Warranty,11,15,Product Image URL: http://www.airsoftstation.com/product_images/o/638/well-mb4411g-bolt-action-sniper-rifle-with-ris-and-folding-sniper-stock__54180.jpg,MB4411G
UK-MB4410G,Well MB4410G Bolt Action Sniper Rifle with RIS & Folding Sniper Stock,Well,135.49,30 Day Return & Warranty,11,15,Product Image URL: http://www.airsoftstation.com/product_images/d/291/well-mb4410g-bolt-action-sniper-rifle-with-ris-and-folding-sniper-stock__99522.jpg,MB4410G
UK-MB4410B,Well MB4410B Bolt Action Sniper Rifle with RIS & Folding Sniper Stock,Well,143.99,30 Day Return & Warranty,11,11,Product Image URL: http://www.airsoftstation.com/product_images/y/200/well-mb4410b-bolt-action-sniper-rifle-with-ris-and-folding-sniper-stock__22566.jpg,8.75E+11
P167M,Classic Army Helical Torque Up Gear Set,Classic Army,51.7,Parts Warranty; See Warranty Policy Page for more information.,0.15,0,Product Image URL: http://www.airsoftstation.com/product_images/x/627/classic-army-helical-torque-up-gear-set__81832.jpg,
ASG-50188,"ICS CXP-APE Keymod ACR Style Metal AEG Airsoft Rifle, Black",ICS Airsoft,409.95,30 Day Return & Warranty,9,0,Product Image URL: http://www.airsoftstation.com/product_images/i/019/ics-cxp-ape-keymod-acr-style-metal-aeg-airsoft-rifle-black__17631.jpg,5.71E+12
ASG-50186,"ICS CXP-APE Keymod ACR CQB Style Metal AEG Airsoft Rifle, Black",ICS Airsoft,399.95,30 Day Return & Warranty,9,0,Product Image URL: http://www.airsoftstation.com/product_images/a/448/ics-cxp-ape-keymod-acr-cqb-style-metal-aeg-airsoft-rifle-black__50795.jpg,5.71E+12
UK-ICS-IMT-230-1,"ICS CXP-APE Keymod ACR CQB Style Metal AEG Airsoft Rifle, Tan",ICS Airsoft,379,30 Day Return & Warranty,9,0,Product Image URL: http://www.airsoftstation.com/product_images/y/883/ics-cxp-ape-keymod-acr-cqb-style-metal-aeg-airsoft-rifle-tan__67948.jpg,
UX-2211035,"Tactical Force 0.25g BIO 3850ct Bag, White",Tactical Force,13.8,,2.2,0,Product Image URL: http://www.airsoftstation.com/product_images/s/249/tactical-force-0.25g-bio-3850ct-bag-white__66375.jpg,7.23E+11
UX-2211034,"Tactical  Force 0.20g BIO 4900ct Bag, White",Tactical Force,13.8,,2.2,0,Product Image URL: http://www.airsoftstation.com/product_images/i/158/tactical-force-0.20g-bio-4900ct-bag-white__38989.jpg,7.23E+11
UX-2211033,"Tactical Force 0.25g 3600 ct Bag, White",Tactical Force,10.3,,2,0,Product Image URL: http://www.airsoftstation.com/product_images/u/370/tactical-force-0.25g-3600-ct-bag-white__52204.jpg,7.23E+11
UX-2211032,"Tactical Force 0.20g 4600 ct Bag, White",Tactical Force,10.3,,2,0,Product Image URL: http://www.airsoftstation.com/product_images/t/401/tactical-force-0.20g-4600-ct-bag-white__80830.jpg,7.23E+11
SI-CHRONOFDE,"Swiss Arms Pro-Chronograph, Tan",Swiss Arms,76.95,30 Day Return & Warranty,1.5,0,Product Image URL: http://www.airsoftstation.com/product_images/j/653/swiss-arms-pro-chronograph-tan__27234.jpg,
